word,sentiment_coeff
research,74.66512284026186
week,56.70053421103671
executive_committee,46.15720574349288
economy,37.58606760460774
isnt,73.73959134576597
local,53.36799352980348
un,52.47137935667432
first,79.17394502518195
president,54.66786229629771
could_affect,58.751014442103966
thats,67.93511458704855
p2,36.9606002471535
opportunity,33.5895354344577
enemy_people,32.11440938745118
pacific_islands,54.753058643200795
council,59.239392600605456
carbon_tax,56.44974237972008
support,36.64976250159968
africa,43.29023173885851
arizona_push,42.92365095804384
1,36.46070554487323
issues,65.6707658934627
sustainability,80.3329138868238
oklahoma_colorado,34.745771648804116
climatechange_globalwarming,49.25880764310419
put,34.73882058878453
tcot,65.9243316159193
response,32.89984586641171
use,48.602135442177186
study_impact,54.082771779666984
work,79.26626523543813
oil,69.44952082290752
sucks,27.164266579372292
go,49.777440283532094
little_help,29.88632419707377
obama_talks,53.840553527985875
sceptical_gm,52.32558328304892
adapt,65.88971021114911
existential_threat,40.040627579687936
fracking,69.89427167029557
agriculture,77.12669984754159
threatens_extinction,53.5867976409813
theres,55.23958558336408
said,74.53922562969197
poverty,72.4003481504228
speech,64.97893281680545
combat,42.43869768172717
got_wrong,65.73609851704407
day,39.17629427171458
oil_trees,30.697253570109652
state,46.64698061282309
impacts_find,31.352433387241696
makeorbreak_issue,38.691275305385446
latest,44.45715659081632
thing,66.48662344925499
questions,35.84699994488384
massive_expansion,58.94680420167258
ocean_survey,44.00644667658332
opportunity_lifetime,31.772875179183686
military_green,47.65104037589663
civil_rights,47.420614697230974
eu_energy,34.242977420776754
could_turn,45.28820180453526
costs,66.04589506764866
look,48.7053265190123
talking,47.95728712798967
care,75.11234734265645
got,44.701273025239075
agenda,71.93096381994576
82_percent,56.99141961645779
nicholas_stern,37.54563110657388
obama_says,60.00436896236635
affect,69.11123340168392
huffington_post,57.69695208679913
next,66.43257735102543
anyone,68.78282396033521
arctic,58.33579848511291
serious,54.39512704637818
thanks,68.14580543623401
weekly_address,50.69585549233566
caused,46.381457941895746
doesnt,32.60017108352178
envoy,36.38386961134251
living_lab,43.14228684294359
far_far,62.3608403600398
need_new,32.199153397650306
could_make,41.84034860263082
tell,64.86878697649689
narrows_focus,64.26533213904716
species,72.07447391942736
back,46.821519445989864
unity_college,60.391918633628876
world_bank,39.32237419258871
alaskans_try,33.45671543956224
flee,31.99616357043002
bill,60.17545549161136
greenland_well,69.85997004701198
global_agreement,36.82073377503443
renewable_energy,42.70726657116876
humanity_dont,36.998860023287804
new_insights,42.80305109069942
love,35.84565468312063
murder_rate,30.363194991491472
deal,76.99881428325592
gop,49.70625428071094
worse,61.31397733322416
gun_violence,40.63273833412014
reality,34.06631802575348
live,54.003305103352744
fish,32.18569330429581
oh,41.43507026616164
link,59.00352749557512
urban_sustainability,30.769363522470904
building_infrastructure,32.2127381737713
nature,80.39461498544
bbcqt,79.01582179095493
